GEM location ID,bus_id
L100000200210,gen0
L100000200211,gen0
L100000200219,gen0
L100000200220,gen3
L100000200223,gen4
L100000200228,gen1
L100000200205,gen0
L100000200279,gen1
L100000200290,gen4
L100000200310,gen4
L100000400336,gen4
L100000400338,gen4
L100000400339,gen0
L100000102860,gen1
L100000400342,gen1
L100000408812,gen3
L100000400344,gen0
L100000400345,gen2
L100000400346,gen1
L100000400349,gen1
L100000407618,gen0
L100000407559,gen4
L100000400353,gen4
L100000400354,gen4
L100000102841,gen0
L100000400358,gen1
L100000400360,gen0
L100000400361,gen4
L100000400362,gen4
L100000400363,gen1
L100000408810,gen4
L100000400364,gen4
L100000400365,gen1
L100000400367,gen4
L100000408809,gen3
L100000400369,gen4
L100000400370,gen1
L100000400371,gen1
L100000400374,gen4
L100000407626,gen1
L100000400376,gen4
L100000400337,gen4
L100000102856,gen3
L100000408807,gen1
L100000408801,gen2
L100000400379,gen4
L100000400380,gen0
L100000408800,gen1
L100000400359,gen1
L100000400382,gen1
L100000400383,gen4
L100000102849,gen4
L100000407625,gen4
L100000400389,gen0
L100000400391,gen4
L100000407550,gen4
L100000400392,gen4
L100000406398,gen4
L100000400394,gen4
L100000400395,gen1
L100000408799,gen0
L100000400397,gen0
L100000400399,gen2
L100000408798,gen2
L100001005574,gen4
L100000400400,gen0
L100000400401,gen4
L100000102846,gen1
L100000400403,gen1
L100000400407,gen0
L100000400409,gen4
L100000400411,gen2
L100000400412,gen4
L100000407553,gen2
L100000400414,gen4
L100000104723,gen1
L100000408796,gen1
L100000408795,gen1
L100000408794,gen1
L100000400417,gen4
L100000400418,gen1
L100000400421,gen2
L100000408793,gen1
L100000408806,gen3
L100000408895,gen1
L100000401437,gen0
L100000400422,gen2
L100000407552,gen2
L100000400410,gen2
L100000407555,gen1
L100000400424,gen4
L100000400425,gen2
L100001025627,gen1
L100000400428,gen1
L100000400430,gen0
L100000400432,gen1
L100000407556,gen2
L100000400434,gen4
L100000400435,gen0
L100000408791,gen4
L100000400436,gen1
L100000408790,gen3
L100000400438,gen0
L100000400446,gen4
L100000400451,gen1
L100000400448,gen4
L100000400452,gen0
L100000400453,gen1
L100000400454,gen0
L100000408822,gen1
L100000408762,gen0
L100000407557,gen0
L100000400457,gen4
L100000400459,gen4
L100000400460,gen1
L100000400461,gen2
L100000400465,gen0
L100000400466,gen1
L100000400366,gen0
L100000407558,gen1
L100000400468,gen4
L100000400469,gen1
L100000400471,gen1
L100000400472,gen2
L100000400474,gen4
L100000102858,gen4
L100000408761,gen0
L100000400477,gen4
L100000400478,gen4
L100000102842,gen0
L100000102844,gen3
L100000102854,gen1
L100000907711,gen1
L100000907712,gen0
L100000907726,gen0
L100000907751,gen0
L100000907773,gen0
L100000907784,gen0
L100000907962,gen0
L100000907968,gen0
L100000907972,gen1
L100000908089,gen1
L100000908206,gen0
L100000908218,gen4
L100000908267,gen0
L100000908275,gen2
L100000908280,gen0
L100000908289,gen1
L100000908290,gen0
L100000908335,gen0
L100000908348,gen3
L100000908376,gen0
L100000908551,gen0
L100000908562,gen0
L100000908563,gen0
L100000908576,gen0
L100000908615,gen0
L100000908647,gen0
L100000908701,gen0
L100000908743,gen0
L100000908764,gen0
L100000908802,gen0
L100000908881,gen0
L100000909079,gen0
L100000909107,gen0
L100000909238,gen0
L100000909258,gen0
L100000909269,gen0
L100000909276,gen0
L100000909360,gen1
L100000909397,gen3
L100000909416,gen0
L100000909426,gen4
L100000909456,gen0
L100000909468,gen0
L100000909490,gen0
L100000909520,gen0
L100000909521,gen1
L100000909665,gen0
L100000909685,gen0
L100000909699,gen0
L100000909702,gen2
L100000909704,gen1
L100000909773,gen0
L100000909856,gen0
L100000909864,gen0
L100000909902,gen0
L100000909928,gen0
L100000910002,gen0
L100000910042,gen0
L100000910100,gen0
L100000910120,gen2
L100000910121,gen2
